country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Hong Kong China",,,,47.6M,53.1M,58.9M,61.1M,64.5M,60.9M,68.9M,72.3M,75.8M,80.7M,81.9M,82M,84.4M,84.8M,85.3M,84.4M,84.5M,89.1M,91.8M,91.3M,92.2M,94.7M
Honduras,,,,,,,,,,,,,,,,1.09M,1.09M,1.07M,1.05M,1.06M,1.15M,1.12M,727k,703k,
Croatia,,,,,,,,,,,,,,4.39M,4.82M,,5.53M,5.16M,5.44M,4.64M,4.36M,2.58M,2.6M,2.98M,3.5M
Hungary,13.1M,12.1M,12.2M,12.3M,10.6M,11.1M,11.2M,13M,14.3M,17.6M,17.8M,16.6M,17.1M,17.2M,16.6M,16.1M,16.6M,16.1M,16M,16.3M,17.3M,18.9M,20.3M,22.8M,24.9M
Indonesia,,,,,,2.21M,2.5M,3.23M,3.48M,3.94M,4.11M,4.97M,5.16M,5.49M,5.05M,6.24M,6.75M,7.45M,8.03M,8.07M,8.18M,8.34M,8.86M,9.47M,11.7M
India,3.06M,3.46M,3.73M,3.81M,4.12M,4.42M,4.56M,4.94M,5.35M,6.21M,7.18M,8.34M,9.78M,10.9M,11.1M,13M,14M,14.9M,16.6M,18.3M,20.4M,21.9M,23.9M,26.3M,26.9M
Ireland,2.55M,2.73M,3.05M,3.33M,3.58M,3.78M,4.22M,4.63M,4.93M,5.41M,6.11M,6.85M,7.71M,7.88M,7.05M,6.92M,6.51M,6.6M,6.58M,6.68M,7.09M,7.65M,8.17M,8.64M,9.35M
Iran,,,,,,,,,,,,,,,,,,,,7.7M,6.62M,9.01M,10.5M,7.24M,
Iceland,166k,190k,203k,227k,257k,283k,,,,,364k,440k,460k,414k,259k,299k,341k,358k,365k,400k,450k,536k,619k,668k,611k
Israel,2.26M,2.5M,2.71M,2.98M,3.2M,3.53M,3.56M,3.27M,3.3M,3.61M,3.69M,3.71M,4.15M,4.21M,4.01M,4.27M,4.39M,4.35M,4.76M,5.18M,5.89M,6.78M,7.6M,8.47M,9.18M
